# iterations per block solve = [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
# max iterations per block solve = 1.0
# min iterations per block solve = 1.0
# n     R(l1)        I(l1)        abs(l1)      arg(l1)      R(l2)        I(l2)        abs(l2)      arg(l2)      R(l1/l2)     I(l1/l2)     abs(l1/l2)   arg(l1/l2)   its
  0    68.626266     0.000000    68.626266     0.000000     7.463857     0.000000     7.463857     0.000000     9.194477     0.000000     9.194477     0.000000     1.000000
  1    70.761232    43.458225    83.040769     0.550761     7.447178    -0.339517     7.454913    -0.045559     9.216553     6.255713    11.139066     0.596320     1.000000
  2    77.145568    86.497924   115.902242     0.842487     7.397300    -0.675765     7.428103    -0.091100     9.283204    12.541223    15.603209     0.933587     1.000000
  3    87.717791   128.704601   155.753925     0.972565     7.314705    -1.005505     7.383491    -0.136607     9.395722    18.886893    21.094888     1.109172     1.000000
  4   102.376082   169.671782   198.165022     1.027897     7.200187    -1.325561     7.321189    -0.182062     9.556316    25.324240    27.067329     1.209960     1.000000
  5   120.979276   209.004931   241.493368     1.046085     7.054849    -1.632851     7.241347    -0.227446     9.768211    31.886572    33.349234     1.273531     1.000000
  6   143.348214   246.325248   284.999716     1.043757     6.880092    -1.924416     7.144162    -0.272738    10.035781    38.609696    39.892675     1.316495     1.000000
  7   169.267469   281.273319   328.277560     1.029062     6.677598    -2.197448     7.029871    -0.317916    10.364753    45.532739    46.697521     1.346977     1.000000
  8   198.487426   313.512574   371.062518     1.006388     6.449317    -2.449317     6.898757    -0.362954    10.762472    52.699112    53.786869     1.369342     1.000000
  9   230.726681   342.732531   413.159036     0.978286     6.197448    -2.677598     6.751140    -0.407826    11.238271    60.157683    61.198411     1.386112     1.000000
 10   265.674752   368.651786   454.408641     0.946335     5.924416    -2.880092     6.587385    -0.452498    11.803958    67.964213    68.981648     1.398833     1.000000
 11   302.995069   391.020724   494.674861     0.911560     5.632851    -3.054849     6.407895    -0.496933    12.474494    76.183166    77.197719     1.408493     1.000000
 12   342.328218   409.623918   533.835520     0.874655     5.325561    -3.200187     6.213115    -0.541089    13.268901    84.890005    85.920758     1.415744     1.000000
 13   383.295399   424.282209   571.778590     0.836107     5.005505    -3.314705     6.003528    -0.584912    14.211524    94.174163    95.240435     1.421020     1.000000
 14   425.502076   434.854432   608.399863     0.796268     4.675765    -3.397300     5.779656    -0.628341    15.333795   104.142945   105.265750     1.424609     1.000000
 15   468.541775   441.238768   643.601620     0.755397     4.339517    -3.447178     5.542062    -0.671298    16.676734   114.926706   116.130363     1.426695     1.000000
 16   512.000000   443.373734   677.291863     0.713689     4.000000    -3.463857     5.291343    -0.713689    18.294558   126.685868   128.000000     1.427379     1.000000
 17   555.458225   441.238768   709.383881     0.671298     3.660483    -3.447178     5.028138    -0.755397    20.259997   139.620546   141.082828     1.426695     1.000000
 18   598.497924   434.854432   739.796014     0.628341     3.324235    -3.397300     4.753124    -0.796268    22.672292   153.984005   155.644167     1.424609     1.000000
 19   640.704601   424.282209   768.451546     0.584912     2.994495    -3.314705     4.467020    -0.836107    25.669527   170.101823   172.027774     1.421020     1.000000
 20   681.671782   409.623918   795.278676     0.541089     2.674439    -3.200187     4.170590    -0.874655    29.448197   188.399740   190.687331     1.415744     1.000000
 21   721.004931   391.020724   820.210532     0.496933     2.367149    -3.054849     3.864647    -0.911560    34.295249   209.445011   212.234250     1.408493     1.000000
 22   758.325248   368.651786   843.185224     0.452498     2.075584    -2.880092     3.550068    -0.946335    40.642506   234.009294   237.512448     1.398833     1.000000
 23   793.273319   342.732531   864.145906     0.407826     1.802552    -2.677598     3.227805    -0.978286    49.163085   263.166584   267.719368     1.386112     1.000000
 24   825.512574   313.512574   883.040850     0.362954     1.550683    -2.449317     2.898926    -1.006388    60.950808   298.449403   304.609664     1.369342     1.000000
 25   854.732531   281.273319   899.823527     0.317916     1.322402    -2.197448     2.564668    -1.029062    77.873778   342.102361   350.853746     1.346977     1.000000
 26   880.651786   246.325248   914.452676     0.272738     1.119908    -1.924416     2.226560    -1.043757   103.320092   397.493471   410.701961     1.316495     1.000000
 27   903.020724   209.004931   926.892382     0.227446     0.945151    -1.632851     1.886667    -1.046085   143.900805   469.738378   491.285646     1.273531     1.000000
 28   921.623918   169.671782   937.112138     0.182062     0.799813    -1.325561     1.548164    -1.027897   213.707439   566.324759   605.305379     1.209960     1.000000
 29   936.282209   128.704601   945.086901     0.136607     0.685295    -1.005505     1.216828    -0.972565   345.935904   695.386092   776.681059     1.109172     1.000000
 30   946.854432    86.497924   950.797142     0.091100     0.602700    -0.675765     0.905486    -0.842487   624.726554   843.979582   1050.040381     0.933587     1.000000
 31   953.238768    43.458225   954.228885     0.045559     0.552822    -0.339517     0.648756    -0.550761   1217.000937   826.036407   1470.859418     0.596320     1.000000
 32   955.373734     0.000000   955.373734     0.000000     0.536143     0.000000     0.536143     0.000000   1781.939252     0.000000   1781.939252     0.000000     1.000000
 33   953.238768   -43.458225   954.228885    -0.045559     0.552822     0.339517     0.648756     0.550761   1217.000937   -826.036407   1470.859418    -0.596320     1.000000
 34   946.854432   -86.497924   950.797142    -0.091100     0.602700     0.675765     0.905486     0.842487   624.726554   -843.979582   1050.040381    -0.933587     1.000000
 35   936.282209   -128.704601   945.086901    -0.136607     0.685295     1.005505     1.216828     0.972565   345.935904   -695.386092   776.681059    -1.109172     1.000000
 36   921.623918   -169.671782   937.112138    -0.182062     0.799813     1.325561     1.548164     1.027897   213.707439   -566.324759   605.305379    -1.209960     1.000000
 37   903.020724   -209.004931   926.892382    -0.227446     0.945151     1.632851     1.886667     1.046085   143.900805   -469.738378   491.285646    -1.273531     1.000000
 38   880.651786   -246.325248   914.452676    -0.272738     1.119908     1.924416     2.226560     1.043757   103.320092   -397.493471   410.701961    -1.316495     1.000000
 39   854.732531   -281.273319   899.823527    -0.317916     1.322402     2.197448     2.564668     1.029062    77.873778   -342.102361   350.853746    -1.346977     1.000000
 40   825.512574   -313.512574   883.040850    -0.362954     1.550683     2.449317     2.898926     1.006388    60.950808   -298.449403   304.609664    -1.369342     1.000000
 41   793.273319   -342.732531   864.145906    -0.407826     1.802552     2.677598     3.227805     0.978286    49.163085   -263.166584   267.719368    -1.386112     1.000000
 42   758.325248   -368.651786   843.185224    -0.452498     2.075584     2.880092     3.550068     0.946335    40.642506   -234.009294   237.512448    -1.398833     1.000000
 43   721.004931   -391.020724   820.210532    -0.496933     2.367149     3.054849     3.864647     0.911560    34.295249   -209.445011   212.234250    -1.408493     1.000000
 44   681.671782   -409.623918   795.278676    -0.541089     2.674439     3.200187     4.170590     0.874655    29.448197   -188.399740   190.687331    -1.415744     1.000000
 45   640.704601   -424.282209   768.451546    -0.584912     2.994495     3.314705     4.467020     0.836107    25.669527   -170.101823   172.027774    -1.421020     1.000000
 46   598.497924   -434.854432   739.796014    -0.628341     3.324235     3.397300     4.753124     0.796268    22.672292   -153.984005   155.644167    -1.424609     1.000000
 47   555.458225   -441.238768   709.383881    -0.671298     3.660483     3.447178     5.028138     0.755397    20.259997   -139.620546   141.082828    -1.426695     1.000000
 48   512.000000   -443.373734   677.291863    -0.713689     4.000000     3.463857     5.291343     0.713689    18.294558   -126.685868   128.000000    -1.427379     1.000000
 49   468.541775   -441.238768   643.601620    -0.755397     4.339517     3.447178     5.542062     0.671298    16.676734   -114.926706   116.130363    -1.426695     1.000000
 50   425.502076   -434.854432   608.399863    -0.796268     4.675765     3.397300     5.779656     0.628341    15.333795   -104.142945   105.265750    -1.424609     1.000000
 51   383.295399   -424.282209   571.778590    -0.836107     5.005505     3.314705     6.003528     0.584912    14.211524   -94.174163    95.240435    -1.421020     1.000000
 52   342.328218   -409.623918   533.835520    -0.874655     5.325561     3.200187     6.213115     0.541089    13.268901   -84.890005    85.920758    -1.415744     1.000000
 53   302.995069   -391.020724   494.674861    -0.911560     5.632851     3.054849     6.407895     0.496933    12.474494   -76.183166    77.197719    -1.408493     1.000000
 54   265.674752   -368.651786   454.408641    -0.946335     5.924416     2.880092     6.587385     0.452498    11.803958   -67.964213    68.981648    -1.398833     1.000000
 55   230.726681   -342.732531   413.159036    -0.978286     6.197448     2.677598     6.751140     0.407826    11.238271   -60.157683    61.198411    -1.386112     1.000000
 56   198.487426   -313.512574   371.062518    -1.006388     6.449317     2.449317     6.898757     0.362954    10.762472   -52.699112    53.786869    -1.369342     1.000000
 57   169.267469   -281.273319   328.277560    -1.029062     6.677598     2.197448     7.029871     0.317916    10.364753   -45.532739    46.697521    -1.346977     1.000000
 58   143.348214   -246.325248   284.999716    -1.043757     6.880092     1.924416     7.144162     0.272738    10.035781   -38.609696    39.892675    -1.316495     1.000000
 59   120.979276   -209.004931   241.493368    -1.046085     7.054849     1.632851     7.241347     0.227446     9.768211   -31.886572    33.349234    -1.273531     1.000000
 60   102.376082   -169.671782   198.165022    -1.027897     7.200187     1.325561     7.321189     0.182062     9.556316   -25.324240    27.067329    -1.209960     1.000000
 61    87.717791   -128.704601   155.753925    -0.972565     7.314705     1.005505     7.383491     0.136607     9.395722   -18.886893    21.094888    -1.109172     1.000000
 62    77.145568   -86.497924   115.902242    -0.842487     7.397300     0.675765     7.428103     0.091100     9.283204   -12.541223    15.603209    -0.933587     1.000000
